PositionId,statecode,county,point_latitude,point_longitude,line,construction
119736,FL,CLAY COUNTY,30.102261,-81.711777,Residential,Masonry
448094,FL,CLAY COUNTY,30.063936,-81.707664,Residential,Masonry
206893,FL,CLAY COUNTY,30.089579,-81.700455,Residential,Wood
333743,FL,CLAY COUNTY,30.063236,-81.707703,Residential,Wood
172534,FL,CLAY COUNTY,30.060614,-81.702675,Residential,Wood
785275,FL,CLAY COUNTY,30.063236,-81.707703,Residential,Masonry
995932,FL,CLAY COUNTY,30.102226,-81.713882,Commercial,Reinforced Concrete
223488,FL,CLAY COUNTY,30.102217,-81.707146,Residential,Wood
433512,FL,CLAY COUNTY,30.118774,-81.704613,Residential,Wood
142071,FL,CLAY COUNTY,30.100628,-81.703751,Residential,Masonry
253816,FL,CLAY COUNTY,30.10216,-81.719444,Residential,Masonry
894922,FL,CLAY COUNTY,30.095957,-81.695099,Residential,Wood
422834,FL,CLAY COUNTY,30.100073,-81.739822,Residential,Wood
582721,FL,CLAY COUNTY,30.09248,-81.725167,Residential,Wood
842700,FL,CLAY COUNTY,30.101356,-81.726248,Residential,Wood
874333,FL,CLAY COUNTY,30.113743,-81.727463,Residential,Wood
580146,FL,CLAY COUNTY,30.121655,-81.732391,Residential,Wood
456149,FL,CLAY COUNTY,30.109537,-81.741661,Residential,Wood
767862,FL,CLAY COUNTY,30.11824,-81.745335,Residential,Wood
353022,FL,CLAY COUNTY,30.065799,-81.717416,Residential,Wood
367814,FL,CLAY COUNTY,30.082993,-81.710581,Residential,Wood
671392,FL,CLAY COUNTY,30.091921,-81.711929,Commercial,Reinforced Concrete
772887,FL,CLAY COUNTY,30.117352,-81.711884,Residential,Masonry
983122,FL,CLAY COUNTY,30.095783,-81.713181,Residential,Wood
934215,FL,CLAY COUNTY,30.110518,-81.727478,Residential,Wood
385951,FL,CLAY COUNTY,30.10288,-81.705719,Residential,Wood
716332,FL,CLAY COUNTY,30.068468,-81.71624,Residential,Wood
751262,FL,CLAY COUNTY,30.068468,-81.71624,Residential,Wood
633663,FL,CLAY COUNTY,30.068468,-81.71624,Residential,Wood
105851,FL,CLAY COUNTY,30.068468,-81.71624,Residential,Wood
710400,FL,CLAY COUNTY,30.068468,-81.71624,Residential,Wood
703001,FL,CLAY COUNTY,30.079785,-81.706865,Residential,Wood
352792,FL,CLAY COUNTY,30.08012,-81.718452,Residential,Masonry
717603,FL,CLAY COUNTY,30.08012,-81.718452,Residential,Wood
937659,FL,SUWANNEE COUNTY,29.959805,-82.926659,Residential,Wood
294022,FL,SUWANNEE COUNTY,29.959805,-82.926659,Residential,Wood
410500,FL,SUWANNEE COUNTY,29.959805,-82.926659,Residential,Wood
524433,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
779298,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Masonry
491831,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
814637,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
737515,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
222653,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
788543,FL,SUWANNEE COUNTY,29.962601,-82.926155,Residential,Wood
691681,FL,SUWANNEE COUNTY,29.960735,-82.92542,Residential,Wood
368807,FL,SUWANNEE COUNTY,29.960735,-82.92542,Residential,Wood
174002,FL,SUWANNEE COUNTY,29.963396,-82.916763,Residential,Wood
198760,FL,SUWANNEE COUNTY,29.963396,-82.916763,Residential,Wood
831395,FL,SUWANNEE COUNTY,29.963396,-82.916763,Residential,Wood
305698,FL,SUWANNEE COUNTY,29.963396,-82.916763,Residential,Wood
515722,FL,SUWANNEE COUNTY,29.963396,-82.916763,Residential,Wood
415582,FL,SUWANNEE COUNTY,29.958415,-82.92394,Residential,Wood
783533,FL,SUWANNEE COUNTY,29.9696,-82.92767,Residential,Wood
640802,FL,SUWANNEE COUNTY,29.959404,-82.927582,Residential,Wood
403866,FL,SUWANNEE COUNTY,29.958904,-82.922729,Residential,Wood
828788,FL,SUWANNEE COUNTY,29.95822,-82.922424,Residential,Wood
751490,FL,SUWANNEE COUNTY,29.965832,-82.933777,Residential,Wood
972562,FL,SUWANNEE COUNTY,29.965721,-82.933777,Residential,Wood
367541,FL,SUWANNEE COUNTY,29.965717,-82.933777,Residential,Wood
481360,FL,SUWANNEE COUNTY,29.95775,-82.923635,Residential,Wood
